,math,ukr,eng,rating,benefit,result
3000,200,192,196,196.4,0,1
3001,188,198,189,191.3,0,1
3002,188,200,190,192.2,0,1
3003,175,174,183,177.1,0,0
3004,131,139,134,134.29999999999998,0,0
3005,200,186,182,190.4,0,1
3006,171,189,194,183.3,1,0
3007,132,135,147,137.4,0,0
3008,146,145,164,151.1,0,0
3009,171,183,198,182.7,0,0
3010,194,171,185,184.40000000000003,0,1
3011,120,140,130,129.0,0,0
3012,139,125,160,141.1,0,0
3013,120,149,155,139.2,0,0
3014,143,142,146,143.6,0,0
3015,186,175,193,184.8,1,1
3016,130,121,140,130.3,0,0
3017,146,163,147,151.4,0,0
3018,150,161,170,159.3,0,0
3019,151,170,149,156.1,0,0
3020,132,136,152,139.2,0,0
3021,139,144,133,138.7,0,0
3022,150,156,144,150.0,0,0
3023,121,130,133,127.3,0,0
3024,125,155,134,136.7,1,0
3025,129,146,147,139.5,0,0
3026,148,172,157,157.9,0,0
3027,126,124,144,130.79999999999998,0,0
3028,166,176,172,170.8,0,0
3029,133,160,130,140.2,0,0
3030,139,124,131,132.1,0,0
3031,191,180,192,188.0,0,1
3032,177,189,186,183.3,0,0
3033,176,187,192,184.1,1,0
3034,141,141,163,147.60000000000002,0,0
3035,132,153,136,139.5,0,0
3036,195,199,171,189.0,0,1
3037,197,196,191,194.90000000000003,0,1
3038,185,173,190,182.9,0,0
3039,133,138,135,135.1,0,0
3040,130,121,138,129.7,0,0
3041,124,137,148,135.1,0,0
3042,172,195,198,186.7,1,1
3043,197,173,176,183.50000000000003,0,0
3044,135,145,155,144.0,0,0
3045,170,146,151,157.1,0,0
3046,164,141,160,155.9,0,0
3047,170,145,154,157.7,0,0
3048,198,175,175,184.2,0,1
3049,134,134,130,132.79999999999998,0,0
3050,164,163,157,161.60000000000002,0,0
3051,127,125,155,134.8,1,0
3052,155,157,168,159.5,0,0
3053,160,145,163,156.4,0,0
3054,193,174,191,186.7,0,1
3055,195,174,175,182.7,0,0
3056,176,179,183,179.0,0,0
3057,185,174,187,182.3,0,0
3058,189,186,187,187.5,0,1
3059,123,129,135,128.4,0,0
3060,198,186,196,193.8,1,1
3061,160,152,159,157.29999999999998,0,0
3062,156,155,178,162.3,0,0
3063,135,121,156,137.1,0,0
3064,183,192,190,187.8,0,1
3065,127,140,151,138.1,0,0
3066,191,186,176,185.0,0,1
3067,182,172,182,179.0,0,0
3068,131,140,153,140.3,0,0
3069,199,190,170,187.6,1,1
3070,180,180,196,184.8,0,1
3071,179,181,189,182.6,0,0
3072,120,138,131,128.7,0,0
3073,180,192,191,186.9,0,1
3074,128,132,128,129.2,0,0
3075,151,158,151,153.1,0,0
3076,166,149,141,153.4,0,0
3077,142,158,177,157.3,0,0
3078,140,159,157,150.79999999999998,1,0
3079,177,171,188,178.5,0,0
3080,161,177,149,162.2,0,0
3081,124,145,141,135.4,0,0
3082,200,183,180,188.9,0,1
3083,154,174,166,163.6,0,0
3084,174,182,178,177.6,0,0
3085,148,152,157,151.9,0,0
3086,188,194,194,191.6,0,1
3087,127,150,145,139.3,1,0
3088,146,167,146,152.3,0,0
3089,167,179,145,164.0,0,0
3090,125,148,131,133.7,0,0
3091,137,130,142,136.4,0,0
3092,141,162,156,151.8,0,0
3093,133,159,136,141.7,0,0
3094,122,154,131,134.29999999999998,0,0
3095,132,153,155,145.20000000000002,0,0
3096,198,180,174,185.4,1,1
3097,177,184,191,183.3,0,0
3098,169,180,153,167.5,0,0
3099,121,135,120,124.9,0,0
3100,139,126,123,130.3,0,0
3101,138,131,153,140.39999999999998,0,0
3102,144,171,140,150.89999999999998,0,0
3103,148,172,144,154.0,0,0
3104,151,141,178,156.10000000000002,0,0
3105,125,158,140,139.4,1,0
3106,155,144,149,149.89999999999998,0,0
3107,188,188,178,185.0,0,1
3108,131,131,151,137.0,0,0
3109,122,123,148,130.1,0,0
3110,163,169,167,166.0,0,0
3111,172,187,183,179.79999999999998,0,0
3112,138,156,140,144.0,0,0
3113,168,142,165,159.3,0,0
3114,179,184,176,179.6,1,0
3115,155,160,180,164.0,0,0
3116,163,174,145,160.9,0,0
3117,179,195,185,185.6,0,1
3118,172,175,186,177.1,0,0
3119,134,152,156,146.0,0,0
3120,186,177,177,180.6,0,0
3121,168,150,174,164.4,0,0
3122,168,154,164,162.6,0,0
3123,134,130,127,130.7,1,0
3124,129,150,130,135.6,0,0
3125,142,175,156,156.1,0,0
3126,156,162,149,155.7,0,0
3127,168,164,166,166.2,0,0
3128,199,177,176,185.5,0,1
3129,168,154,176,166.2,0,0
3130,170,160,153,161.9,0,0
3131,133,140,153,141.1,0,0
3132,138,132,123,131.7,1,0
3133,178,194,190,186.4,0,1
3134,120,158,146,139.2,0,0
3135,134,159,130,140.29999999999998,0,0
3136,163,142,164,157.0,0,0
3137,195,199,188,194.1,0,1
3138,160,143,180,160.9,0,0
3139,177,189,195,186.0,0,1
3140,163,158,161,160.9,0,0
3141,195,198,187,193.5,1,1
