доход населення на 1 особу;;;;;;;;;;;;
Name;UKRname;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Autonomous Republic of Crimea;Автономна Республіка Крим;6567,0;8589,7;11515,8;12036,3;15480,0;18231,0;20751,0;22793,2;;;
Vinnytsia Oblast;Вінницька;6980,5;8963,3;11676,4;12191,7;16018,0;19090,8;21734,9;23000,6;23421,7;29637,1;34931,4
Volyn Oblast;Волинська;6387,6;8022,6;10597,3;10966,8;14311,9;16657,7;18806,9;19804,9;20137,2;24979,9;30012,5
Dnipropetrovsk Oblast;Дніпропетровська;8632,3;11439,0;15459,9;16386,5;20739,4;24302,4;28771,6;30300,6;32036,2;39142,0;44365,9
Donetsk Oblast;Донецька;8855,9;11625,7;16220,1;17014,0;21317,3;24890,3;29336,6;31048,5;26234,4;21346,4;20927,0
Zhytomyr Oblast;Житомирська;6754,3;8864,5;12022,6;12179,8;15775,9;18716,4;21288,0;21652,1;22102,1;27801,4;32979,1
Zakarpattia Oblast;Закарпатська;5757,7;7323,8;9664,5;9764,5;12699,6;15002,4;17191,4;17929,3;17358,1;22456,7;26856,2
Zaporizhia Oblast;Запорізька;8693,6;11276,2;15265,2;15652,6;20221,4;23684,9;27107,6;28388,1;30181,8;36277,4;43461,6
Ivano-Frankivsk Oblast;Івано-Франківська;6463,4;8336,0;11262,8;11692,4;15009,4;17732,6;20148,4;20987,8;20356,7;26540,1;31718,9
Kyiv Oblast;Київська;7953,8;10248,8;14292,4;15024,9;19513,9;22520,1;26541,7;27390,6;28443,3;33955,6;40126,9
Kirovohrad Oblast;Кіровоградська;6672,0;8564,6;11489,3;11727,3;15417,7;18039,2;20553,7;21671,4;21954,1;27382,5;32744,7
Luhansk Oblast;Луганська;7343,4;9620,0;13411,0;14071,6;17850,0;20879,9;24024,1;25590,3;19788,3;15633,6;13792,7
Lviv Oblast;Львівська;7394,7;9523,8;12718,3;13211,3;16513,8;19204,4;21992,3;23138,3;23595,2;29542,2;35325,0
Mykolaiv Oblast;Миколаївська;7318,4;9376,5;12626,5;13154,2;16993,4;20040,7;22878,0;23868,8;23458,5;29342,1;34970,5
Odessa Oblast;Одеська;7006,1;8780,8;11754,4;12404,2;16275,2;19135,0;22224,4;25571,8;24242,0;32384,5;39132,1
Poltava Oblast;Полтавська;8064,2;10382,3;13922,0;14742,6;17990,9;20917,4;24027,2;25371,2;26195,7;31996,5;37938,4
Rivne Oblast;Рівненська;6540,6;8285,6;11124,6;11316,8;14629,8;17326,2;19859,8;21165,0;21781,0;26707,7;31294,8
Sumy Oblast;Сумська;7459,2;9876,3;13187,2;13426,4;16875,5;19592,9;22582,3;23558,6;23938,1;30572,3;36084,4
Ternopil Oblast;Тернопільська;6283,4;8063,5;10583,0;10634,2;13824,2;16351,3;18560,6;18993,8;18400,5;24040,1;28194,7
Kharkiv Oblast;Харківська;7819,6;10328,5;14065,7;14633,1;18450,5;21787,8;24870,0;26098,2;26274,0;32197,9;38196,6
Kherson Oblast;Херсонська;6492,2;8374,5;11248,1;11440,3;14881,7;17654,3;19939,9;21724,0;20727,9;27880,0;32967,9
Khmelnytskyi Oblast;Хмельницька;6943,1;8965,3;11938,6;12238,2;15781,0;18738,2;21590,6;22789,0;22686,1;29291,9;34394,5
Cherkasy Oblast;Черкаська;6795,5;8782,7;11987,2;12517,5;15769,2;18246,3;20717,9;21633,2;21760,5;26969,7;32327,2
Chernivtsi Oblast;Чернівецька;6078,0;7738,0;9793,2;10013,3;13503,3;15992,5;18107,5;19438,2;18475,6;23929,0;28360,8
Chernihiv Oblast;Чернігівська;7201,3;9337,4;12353,4;13155,5;16625,0;19465,0;22769,6;23599,7;23093,4;28440,4;33231,3
Kyiv;м.Київ;13566,9;18233,2;24960,2;27474,5;37012,7;42576,7;52708,9;55841,6;62715,1;76513,7;92253,6
Sevastopol;м.Севастополь;6790,6;9093,1;12111,6;12566,4;17078,3;19918,6;23186,0;26584,4;;;
