,math,ukr,eng,rating,benefit,result
1500,161,142,178,160.4,0,0
1501,173,176,185,177.5,0,0
1502,192,192,196,193.2,0,1
1503,181,170,199,183.1,1,1
1504,136,129,159,140.79999999999998,0,0
1505,130,123,121,125.2,0,0
1506,128,127,144,132.5,0,0
1507,123,138,121,126.9,0,0
1508,143,178,145,154.1,0,0
1509,194,189,185,189.8,0,1
1510,200,190,170,188.0,0,1
1511,129,144,146,138.6,0,0
1512,134,121,137,131.0,1,0
1513,131,135,123,129.8,0,0
1514,128,126,143,131.89999999999998,0,0
1515,155,156,158,156.2,0,0
1516,144,170,171,159.9,0,0
1517,139,155,129,140.8,0,0
1518,182,181,186,182.9,0,0
1519,125,142,122,129.2,0,0
1520,191,178,191,187.1,0,1
1521,180,181,173,178.2,1,0
1522,182,172,173,176.29999999999998,0,0
1523,125,126,132,127.4,0,0
1524,175,188,188,182.8,0,0
1525,122,124,124,123.2,0,0
1526,121,129,146,130.9,0,0
1527,199,192,182,191.8,0,1
1528,153,163,147,154.20000000000002,0,0
1529,156,156,169,159.89999999999998,0,0
1530,180,189,188,185.1,1,1
1531,184,185,172,180.7,0,0
1532,139,156,121,138.7,0,0
1533,192,189,191,190.8,0,1
1534,191,190,195,191.9,0,1
1535,175,185,180,179.5,0,0
1536,173,188,188,182.0,0,0
1537,120,129,150,131.7,0,0
1538,124,120,146,129.4,0,0
1539,138,127,121,129.6,1,0
1540,184,176,176,179.2,0,0
1541,190,178,187,185.5,0,1
1542,166,145,176,162.7,0,0
1543,152,176,150,158.60000000000002,0,0
1544,146,166,148,152.60000000000002,0,0
1545,125,160,143,140.9,0,0
1546,185,189,187,186.8,0,1
1547,162,162,165,162.9,0,0
1548,176,175,183,177.8,1,0
1549,163,154,158,158.79999999999998,0,0
1550,144,166,149,152.1,0,0
1551,162,144,164,157.2,0,0
1552,136,143,153,143.20000000000002,0,0
1553,168,161,156,162.3,0,0
1554,169,172,175,171.70000000000002,0,0
1555,131,138,160,141.8,0,0
1556,181,187,177,181.6,0,0
1557,142,178,153,156.1,1,0
1558,190,178,180,183.4,0,1
1559,147,165,159,156.0,0,0
1560,189,194,175,186.3,0,1
1561,127,156,120,133.60000000000002,0,0
1562,167,174,163,167.89999999999998,0,0
1563,142,173,161,157.0,0,0
1564,132,123,156,136.5,0,0
1565,136,128,140,134.8,0,0
1566,120,127,132,125.7,1,0
1567,176,190,189,184.1,0,1
1568,129,132,142,133.8,0,0
1569,167,174,166,168.79999999999998,0,0
1570,132,157,158,147.3,0,0
1571,136,139,133,136.0,0,0
1572,182,172,195,182.9,0,0
1573,194,175,171,181.4,0,0
1574,174,199,196,188.1,0,1
1575,181,183,172,178.9,1,0
1576,130,136,150,137.8,0,0
1577,128,124,160,136.4,0,0
1578,121,134,120,124.6,0,0
1579,161,154,151,155.9,0,0
1580,158,140,145,148.7,0,0
1581,139,124,129,131.5,0,0
1582,132,128,148,135.6,0,0
1583,165,142,148,153.0,0,0
1584,192,191,170,185.1,1,1
1585,175,195,187,184.6,0,1
1586,143,146,171,152.3,0,0
1587,199,170,189,187.3,0,1
1588,139,149,160,148.29999999999998,0,0
1589,135,120,137,131.1,0,0
1590,125,123,160,134.9,0,0
1591,186,181,190,185.7,0,1
1592,155,166,159,159.5,0,0
1593,150,168,145,153.9,1,0
1594,191,196,173,187.1,0,1
1595,193,187,190,190.3,0,1
1596,136,155,147,145.0,0,0
1597,157,166,167,162.7,0,0
1598,158,179,166,166.7,0,0
1599,195,188,173,186.3,0,1
1600,177,199,190,187.5,0,1
1601,131,134,143,135.5,0,0
1602,150,147,168,154.5,1,0
1603,152,151,145,149.60000000000002,0,0
1604,172,172,173,172.29999999999998,0,0
1605,126,130,149,134.1,0,0
1606,129,137,151,138.0,0,0
1607,150,169,172,162.29999999999998,0,0
1608,142,163,169,156.4,0,0
1609,162,159,144,155.7,0,0
1610,151,173,149,157.0,0,0
1611,131,146,143,139.10000000000002,1,0
1612,147,161,146,150.89999999999998,0,0
1613,160,175,171,167.8,0,0
1614,188,185,197,189.8,0,1
1615,166,180,146,164.2,0,0
1616,198,180,193,191.1,0,1
1617,177,178,182,178.8,0,0
